,R_annulata,R_areolata,R_diademata,R_funerea,R_melanosterna,R_nasuta,R_pulcherrima,R_punctularia,R_rubida
Al,1,1,0,1,0,0,0,0,0
An-As,0,0,0,0,0,0,0,1,0
Cho,1,0,0,0,1,1,0,0,0
Nsa,0,0,1,0,0,0,0,0,0
Nuh,0,0,0,1,0,0,1,0,0
Ph,1,0,0,0,1,0,0,0,0
Pl,0,0,0,0,0,0,1,0,1
