
BestInitial:Cho
"AreaSelected" "Freq" "Percent"
"1" "Al" 383 38.3
"2" "An-As" 12 1.2
"3" "Cho" 459 45.9
"4" "Nsa" 3 0.3
"5" "Nuh" 117 11.7
"6" "Pl" 26 2.6
